Test Order,Input Gen Time (ms),Input Valid?,Validator Time (ms),Solution Error?,Solution Time (ms),Checker Time (ms),Checker Feedback
1,0.00,YES,62.00,NO,54.00,58.00,"Output is correct!"
2,0.00,YES,14.00,NO,12.00,14.00,"Output is correct!"
3,0.00,YES,15.00,NO,11.00,12.00,"Output isn't correct!"
4,0.00,YES,13.00,NO,12.00,12.00,"Output is correct!"
5,0.00,YES,15.00,NO,11.00,12.00,"Output isn't correct!"
6,0.00,YES,14.00,NO,12.00,14.00,"Output is correct!"
7,0.00,YES,16.00,NO,12.00,12.00,"Output isn't correct!"
8,0.00,YES,15.00,NO,12.00,12.00,"Output isn't correct!"
9,0.00,YES,14.00,NO,13.00,11.00,"Output isn't correct!"
10,0.00,YES,14.00,NO,13.00,14.00,"Output isn't correct!"
